ProblemSet,RavensProblem,Agent's Answer
Basic Problems B,Basic Problem B-01,0
Basic Problems B,Basic Problem B-02,0
Basic Problems B,Basic Problem B-03,0
Basic Problems B,Basic Problem B-04,0
Basic Problems B,Basic Problem B-05,0
Basic Problems B,Basic Problem B-06,0
Basic Problems B,Basic Problem B-07,0
Basic Problems B,Basic Problem B-08,0
Basic Problems B,Basic Problem B-09,0
Basic Problems B,Basic Problem B-10,0
Basic Problems B,Basic Problem B-11,0
Basic Problems B,Basic Problem B-12,0
Basic Problems C,Basic Problem C-01,3
Basic Problems C,Basic Problem C-02,4
Basic Problems C,Basic Problem C-03,4
Basic Problems C,Basic Problem C-04,8
Basic Problems C,Basic Problem C-05,3
Basic Problems C,Basic Problem C-06,7
Basic Problems C,Basic Problem C-07,2
Basic Problems C,Basic Problem C-08,6
Basic Problems C,Basic Problem C-09,2
Basic Problems C,Basic Problem C-10,7
Basic Problems C,Basic Problem C-11,3
Basic Problems C,Basic Problem C-12,8
Challenge Problems B,Challenge Problem B-01,0
Challenge Problems B,Challenge Problem B-02,0
Challenge Problems B,Challenge Problem B-03,0
Challenge Problems B,Challenge Problem B-04,0
Challenge Problems B,Challenge Problem B-05,0
Challenge Problems B,Challenge Problem B-06,0
Challenge Problems B,Challenge Problem B-07,0
Challenge Problems B,Challenge Problem B-08,0
Challenge Problems B,Challenge Problem B-09,0
Challenge Problems B,Challenge Problem B-10,0
Challenge Problems B,Challenge Problem B-11,0
Challenge Problems B,Challenge Problem B-12,0
Challenge Problems C,Challenge Problem C-01,6
Challenge Problems C,Challenge Problem C-02,6
Challenge Problems C,Challenge Problem C-03,7
Challenge Problems C,Challenge Problem C-04,8
Challenge Problems C,Challenge Problem C-05,0
Challenge Problems C,Challenge Problem C-06,2
Challenge Problems C,Challenge Problem C-07,7
Challenge Problems C,Challenge Problem C-08,5
Challenge Problems C,Challenge Problem C-09,0
Challenge Problems C,Challenge Problem C-10,0
Challenge Problems C,Challenge Problem C-11,7
Challenge Problems C,Challenge Problem C-12,2
